id1,text1,entity1,id2,text2,entity2,text_similarity_score,entity_similarity_score,date_difference,pair_id,label,confidence,needs_human_review,evaluator_verdict
nifty_376,REG - Elektron Technology - Director/PDMR Shareholding,- elektron technology|director/pdmr shareholding|elektron|technology|pdmr,nifty_381,REG - Elektron Technology - Director/PDMR Shareholding,- elektron technology|director/pdmr shareholding|elektron|technology|pdmr,1.0000005,1.0,13,e26b496a89b5551affa6f74415ae6cc1,True,5,False,
nifty_376,REG - Elektron Technology - Director/PDMR Shareholding,- elektron technology|director/pdmr shareholding|elektron|technology|pdmr,nifty_404,REG - Elektron Technology - Director/PDMR Shareholding,- elektron technology|director/pdmr shareholding|elektron|technology|pdmr,1.0000004,1.0,57,e26b496a89b5551affa6f74415ae6cc1,True,5,False,
nifty_381,REG - Elektron Technology - Director/PDMR Shareholding,- elektron technology|director/pdmr shareholding|elektron|technology|pdmr,nifty_404,REG - Elektron Technology - Director/PDMR Shareholding,- elektron technology|director/pdmr shareholding|elektron|technology|pdmr,1.0000004,1.0,44,e26b496a89b5551affa6f74415ae6cc1,True,5,False,
nifty_647,Midway Gold Appoints New CFO,midway gold|new cfo|midway|gold,nifty_774,Midway Gold Appoints New CFO,midway gold|new cfo|midway|gold,1.0000004,1.0,232,5f30c64bf266faa70ba70e959e711229,True,5,False,
nifty_715,The Advisory Board Company to Present at Upcoming Conferences,the advisory board company|upcoming conferences|advisory|board,nifty_868,The Advisory Board Company to Present at Upcoming Conferences,the advisory board company|upcoming conferences|advisory|board,1.0000004,1.0,287,64f56cf5cd328efcb294be13d1968f4a,True,5,False,
nifty_272,The Advisory Board Company to Present at Upcoming Conferences,the advisory board company|upcoming conferences|advisory|board,nifty_715,The Advisory Board Company to Present at Upcoming Conferences,the advisory board company|upcoming conferences|advisory|board,1.0000001,1.0,825,64f56cf5cd328efcb294be13d1968f4a,True,5,False,
nifty_272,The Advisory Board Company to Present at Upcoming Conferences,the advisory board company|upcoming conferences|advisory|board,nifty_868,The Advisory Board Company to Present at Upcoming Conferences,the advisory board company|upcoming conferences|advisory|board,1.0000001,1.0,1112,64f56cf5cd328efcb294be13d1968f4a,True,5,False,
nifty_797,BRIEF-Moneysupermarket.Com appoints Bruce Carnegie-Brown as chairman,brief-moneysupermarket.com|bruce carnegie-brown|chairman|brief|moneysupermarket|com|bruce|carnegie|brown,nifty_797,BRIEF- Moneysupermarket.com appoints Bruce Carnegie-Brown as chairman,moneysupermarket.com|bruce carnegie-brown|chairman|brief-|bruce|carnegie|brown,1.0000001,0.4545454545454545,0,087f34cd2373ce954ff852f3ede7b167,True,5,False,
nifty_147,REG - Evolve Capital PLC - Director/PDMR Shareholding,- evolve capital plc|director/pdmr shareholding|evolve|capital|plc|pdmr,nifty_367,REG - Evolve Capital PLC - Director/PDMR Shareholding,- evolve capital plc|director/pdmr shareholding|evolve|capital|plc|pdmr,1.0,1.0,403,e0b031ca8baab62ca221a302ae50133c,True,5,False,
nifty_147,REG - Evolve Capital PLC - Director/PDMR Shareholding,- evolve capital plc|director/pdmr shareholding|evolve|capital|plc|pdmr,nifty_498,REG - Evolve Capital PLC - Director/PDMR Shareholding,- evolve capital plc|director/pdmr shareholding|evolve|capital|plc|pdmr,1.0,1.0,649,e0b031ca8baab62ca221a302ae50133c,True,5,False,
