id1,text1,entity1,id2,text2,entity2,text_similarity_score,entity_similarity_score,date_difference
nifty_181,REG - Gresham Computing - Holding(s) in Company,gresham computing - holding(s|company|gresham|computing|holding(s,nifty_485,REG - Gresham Computing - Holding(s) in Company,gresham computing - holding(s|company|gresham|computing|holding(s,1.0000008,1.0,559
nifty_185,REG - CareTech Holdings - Preliminary Results,caretech holdings|caretech|holdings,nifty_384,REG - CareTech Holdings - Preliminary Results,caretech holdings|caretech|holdings,1.0000008,1.0,364
nifty_142,REG - BH Macro Limited - Monthly Shareholder Report,reg - bh macro limited|monthly shareholder report|bh|macro|limited|report,nifty_322,REG - BH Macro Limited - Monthly Shareholder Report,reg - bh macro limited|monthly shareholder report|bh|macro|limited|report,1.0000007,1.0,329
nifty_322,REG - BH Macro Limited - Monthly Shareholder Report,reg - bh macro limited|monthly shareholder report|bh|macro|limited|report,nifty_355,REG - BH Macro Limited - Monthly Shareholder Report,reg - bh macro limited|monthly shareholder report|bh|macro|limited|report,1.0000007,1.0,61
nifty_352,REG - Gresham Computing - Holding(s) in Company,gresham computing - holding(s|company|gresham|computing|holding(s,nifty_485,REG - Gresham Computing - Holding(s) in Company,gresham computing - holding(s|company|gresham|computing|holding(s,1.0000007,1.0,246
nifty_98,REG - ZincOx Resources PLCGoldman Sachs Group. - Holding(s) in Company,- zincox resources plcgoldman sachs group|holding(s|company|zincox|resources|plcgoldman|sachs|group,nifty_99,REG - ZincOx Resources PLCGoldman Sachs Group. - Holding(s) in Company,- zincox resources plcgoldman sachs group|holding(s|company|zincox|resources|plcgoldman|sachs|group,1.0000006,1.0,1
nifty_112,REG - Nepri Finance S.r.l. - Investor Report,nepri|s.r.l|finance|investor|report,nifty_362,REG - Nepri Finance S.r.l. - Investor Report,nepri|s.r.l|finance|investor|report,1.0000006,1.0,455
nifty_154,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_202,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000006,1.0,90
nifty_154,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_234,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000006,1.0,148
nifty_154,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_237,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000006,1.0,154
nifty_195,REG - Epic Securities Plc - Interim Management Statement,epic securities plc|interim management statement|epic|securities|plc|interim|management|statement,nifty_283,REG - Epic Securities Plc - Interim Management Statement,epic securities plc|interim management statement|epic|securities|plc|interim|management|statement,1.0000006,1.0,161
nifty_202,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_234,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000006,1.0,58
nifty_202,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_237,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000006,1.0,64
nifty_234,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_237,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000006,1.0,6
nifty_237,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_303,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000006,1.0,120
nifty_244,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_303,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000006,1.0,107
nifty_252,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,nifty_303,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,1.0000006,1.0,93
nifty_265,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_303,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000006,1.0,70
nifty_268,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_303,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000006,1.0,64
nifty_303,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,nifty_500,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,1.0000006,1.0,364
nifty_318,REG - Higher Education Sec - Doc re. Investor Report,higher education|investor report|higher|education|sec,nifty_450,REG - Higher Education Sec - Doc re. Investor Report,higher education|investor report|higher|education|sec,1.0000006,1.0,245
nifty_362,REG - BowLeven PlcDeutsche Bank AG - Holding(s) in Company,bowleven plcdeutsche bank ag|holding(s|company|bowleven|plcdeutsche|bank|ag,nifty_394,REG - BowLeven PlcDeutsche Bank AG - Holding(s) in Company,bowleven plcdeutsche bank ag|holding(s|company|bowleven|plcdeutsche|bank|ag,1.0000006,1.0,62
nifty_367,REG - BowLeven PlcDeutsche Bank AG - Holding(s) in Company,bowleven plcdeutsche bank ag|holding(s|company|bowleven|plcdeutsche|bank|ag,nifty_394,REG - BowLeven PlcDeutsche Bank AG - Holding(s) in Company,bowleven plcdeutsche bank ag|holding(s|company|bowleven|plcdeutsche|bank|ag,1.0000006,1.0,51
nifty_98,REG - Cobham PLC - Holding(s) in Company,reg - cobham plc|holding(s|company|cobham|plc,nifty_99,REG - Cobham PLC - Holding(s) in Company,reg - cobham plc|holding(s|company|cobham|plc,1.0000005,1.0,1
nifty_98,REG - Cobham PLC - Holding(s) in Company,reg - cobham plc|holding(s|company|cobham|plc,nifty_505,REG - Cobham PLC - Holding(s) in Company,reg - cobham plc|holding(s|company|cobham|plc,1.0000005,1.0,748
nifty_98,REG - Xtract Energy plc - Investment Update,reg - xtract energy plc - investment update|xtract|energy|plc|investment|update,nifty_141,REG - Xtract Energy plc - Investment Update,reg - xtract energy plc - investment update|xtract|energy|plc|investment|update,1.0000005,1.0,77
nifty_98,REG - Xtract Energy plc - Investment Update,reg - xtract energy plc - investment update|xtract|energy|plc|investment|update,nifty_243,REG - Xtract Energy plc - Investment Update,reg - xtract energy plc - investment update|xtract|energy|plc|investment|update,1.0000005,1.0,265
nifty_98,REG - Xtract Energy plc - Investment Update,reg - xtract energy plc - investment update|xtract|energy|plc|investment|update,nifty_276,REG - Xtract Energy plc - Investment Update,reg - xtract energy plc - investment update|xtract|energy|plc|investment|update,1.0000005,1.0,323
nifty_99,REG - Cobham PLC - Holding(s) in Company,reg - cobham plc|holding(s|company|cobham|plc,nifty_505,REG - Cobham PLC - Holding(s) in Company,reg - cobham plc|holding(s|company|cobham|plc,1.0000005,1.0,747
nifty_119,REG - British Empire Sec - Monthly Update,british empire sec|british|empire|sec,nifty_259,REG - British Empire Sec - Monthly Update,british empire sec|british|empire|sec,1.0000005,1.0,258
nifty_119,REG - British Empire Sec - Monthly Update,british empire sec|british|empire|sec,nifty_501,REG - British Empire Sec - Monthly Update,british empire sec|british|empire|sec,1.0000005,1.0,705
nifty_139,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_154,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000005,1.0,27
nifty_139,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_202,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000005,1.0,117
nifty_139,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_234,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000005,1.0,175
nifty_139,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_237,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000005,1.0,181
nifty_139,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_456,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000005,1.0,585
nifty_141,REG - Xtract Energy plc - Investment Update,reg - xtract energy plc - investment update|xtract|energy|plc|investment|update,nifty_243,REG - Xtract Energy plc - Investment Update,reg - xtract energy plc - investment update|xtract|energy|plc|investment|update,1.0000005,1.0,188
nifty_141,REG - Xtract Energy plc - Investment Update,reg - xtract energy plc - investment update|xtract|energy|plc|investment|update,nifty_276,REG - Xtract Energy plc - Investment Update,reg - xtract energy plc - investment update|xtract|energy|plc|investment|update,1.0000005,1.0,246
nifty_142,REG - BH Macro Limited - Monthly Shareholder Report,reg - bh macro limited|monthly shareholder report|bh|macro|limited|report,nifty_355,REG - BH Macro Limited - Monthly Shareholder Report,reg - bh macro limited|monthly shareholder report|bh|macro|limited|report,1.0000005,1.0,390
nifty_154,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_217,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000005,1.0,118
nifty_154,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_283,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000005,1.0,238
nifty_154,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_288,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000005,1.0,246
nifty_154,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,nifty_456,REG - Lloyds TSB Bank PLC - Publication of Final Terms,lloyds tsb bank plc|- publication|final terms|lloyds|tsb|bank|plc,1.0000005,1.0,558
nifty_165,REG - SR Global Fund Inc. - Issue of New Series,sr global fund inc.|issue|new series|sr|global|fund|inc.,nifty_381,REG - SR Global Fund Inc. - Issue of New Series,sr global fund inc.|issue|new series|sr|global|fund|inc.,1.0000005,1.0,398
nifty_165,REG - SR Global Fund Inc. - Issue of New Series,sr global fund inc.|issue|new series|sr|global|fund|inc.,nifty_427,REG - SR Global Fund Inc. - Issue of New Series,sr global fund inc.|issue|new series|sr|global|fund|inc.,1.0000005,1.0,484
nifty_166,REG - Bankers Investment - Total Voting Rights,bankers investment|total voting rights,nifty_364,REG - Bankers Investment - Total Voting Rights,bankers investment|total voting rights,1.0000005,1.0,363
nifty_181,REG - Gresham Computing - Holding(s) in Company,gresham computing - holding(s|company|gresham|computing|holding(s,nifty_352,REG - Gresham Computing - Holding(s) in Company,gresham computing - holding(s|company|gresham|computing|holding(s,1.0000005,1.0,313
nifty_181,REG - British PortfolioTst - Top 10 Holdings,british portfoliotst|top 10 holdings|portfoliotst|top,nifty_214,REG - British PortfolioTst - Top 10 Holdings,british portfoliotst|top 10 holdings|portfoliotst|top,1.0000005,1.0,62
nifty_184,REG - TVC Holdings PLCAllied Irish Banks - Holding(s) in Company,- tvc holdings plcallied irish banks|holding(s|company|tvc|holdings|plcallied|irish|banks,nifty_207,REG - TVC Holdings PLCAllied Irish Banks - Holding(s) in Company,- tvc holdings plcallied irish banks|holding(s|company|tvc|holdings|plcallied|irish|banks,1.0000005,1.0,43
nifty_216,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_303,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000005,1.0,157
nifty_218,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,nifty_303,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,1.0000005,1.0,155
nifty_234,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,nifty_438,REG - Bank of Nova Scotia - Publication of Prospectus,bank|nova scotia|prospectus|nova|scotia,1.0000005,1.0,376
nifty_237,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_244,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000005,1.0,13
nifty_237,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_265,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000005,1.0,50
nifty_237,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_268,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000005,1.0,56
nifty_237,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_283,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000005,1.0,84
nifty_243,REG - Xtract Energy plc - Investment Update,reg - xtract energy plc - investment update|xtract|energy|plc|investment|update,nifty_276,REG - Xtract Energy plc - Investment Update,reg - xtract energy plc - investment update|xtract|energy|plc|investment|update,1.0000005,1.0,58
nifty_243,REG - Epistem Holdings plc - Holding(s) in Company,- epistem holdings plc|holding(s|company|epistem|holdings|plc,nifty_273,REG - Epistem Holdings plc - Holding(s) in Company,- epistem holdings plc|holding(s|company|epistem|holdings|plc,1.0000005,1.0,52
nifty_244,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_265,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000005,1.0,37
nifty_244,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_268,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000005,1.0,43
nifty_244,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_283,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000005,1.0,71
nifty_252,REG - Cazenove Abs Equity - Holding(s) in Company,cazenove abs equity - holding(s|company|cazenove|abs|equity|holding(s,nifty_309,REG - Cazenove Abs Equity - Holding(s) in Company,cazenove abs equity - holding(s|company|cazenove|abs|equity|holding(s,1.0000005,1.0,105
nifty_252,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,nifty_318,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,1.0000005,1.0,120
nifty_252,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,nifty_352,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,1.0000005,1.0,182
nifty_259,REG - British Empire Sec - Monthly Update,british empire sec|british|empire|sec,nifty_501,REG - British Empire Sec - Monthly Update,british empire sec|british|empire|sec,1.0000005,1.0,447
nifty_265,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_268,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000005,1.0,6
nifty_265,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_283,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000005,1.0,34
nifty_268,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_283,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000005,1.0,28
nifty_283,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,nifty_303,REG - African Mining & Exp - Holding(s) in Company,- african mining|exp - holding(s|company|african|mining|exp|holding(s,1.0000005,1.0,36
nifty_303,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,nifty_318,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,1.0000005,1.0,27
nifty_303,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,nifty_333,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,1.0000005,1.0,55
nifty_303,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,nifty_352,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,1.0000005,1.0,89
nifty_303,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,nifty_367,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,1.0000005,1.0,116
nifty_303,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,nifty_420,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,1.0000005,1.0,216
nifty_318,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,nifty_352,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,1.0000005,1.0,62
nifty_318,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,nifty_367,REG - VietNam Holding Ltd - Monthly Investor Report,reg - vietnam holding ltd|monthly investor report|vietnam|holding|ltd|report,1.0000005,1.0,89
