topic,distribution,bin_size,params,log_loss,auc
0,Exponential,93,[0.23849528116921465],0.014048509608408748,1.0
1,Burr_III,120,"[2.0993776872008896e-13, 0.24794915043053906]",0.23503059237193988,0.6390931372549019
2,Exponential,178,[2.936026008008506],0.0978783879253428,0.9985835694050992
3,Exponential,24,[0.003521584763904638],0.5486713561576689,0.7840909090909091
4,Exponential,28,[1.0227176393530881],0.005337114616664491,1.0
5,Weibull,90,"[0.2695184344414962, 0.4427765885916543]",0.11921109112406507,0.8861635220125786
6,Burr_III,181,"[4.595143342253071e-13, 0.3009967252093007]",0.28840436203046843,0.7202847544392896
7,Exponential,62,[0.12448866226780582],0.040306636774261724,1.0
15,Burr_III,41,"[0.15658634250370526, 0.41089241734198434]",0.3673139800646965,0.6881744749596124
17,LogNormal,34,"[4.454622691401805, 4.899348137744354e-11]",0.3004024331245152,0.639294522311823
