distribution,bin_size,log_loss,auc,aic,bic,params,log_loss_rank,auc_rank,aic_rank,bic_rank,avg_rank
Exponential,178,0.0978783879253428,0.9985835694050992,2.1957567758506857,8.907200094926152,[2.936026008008506],362.0,1.0,2.0,3.0,92.0
Exponential,165,0.10563704061344786,0.9984709480122324,2.211274081226896,8.926990208775095,[2.936026026649641],389.0,12.0,3.0,4.0,102.0
Gamma,29,0.04526380526979617,0.8523527754296986,4.090527610539592,17.217535799098567,"[0.00017160953555285088, 0.011008974057995303]",20.0,160.0,123.0,196.0,124.75
Weibull,29,0.04539720618345735,0.8523527754296986,4.090794412366915,17.21780260092589,"[2.3428436704853817, 0.07716065157773856]",21.0,160.0,124.0,197.0,125.5
Burr_XII,29,0.04544857371436129,0.8523527754296986,4.090897147428723,17.217905335987698,"[0.11774244294971961, 3.3529768715745254]",22.0,160.0,125.0,198.0,126.25
Burr_III,29,0.04548450908830433,0.8523527754296986,4.090969018176609,17.217977206735583,"[0.28351662704271535, 0.14780259237679316]",23.0,160.0,126.0,199.0,127.0
Logistic,29,0.04548973718551692,0.8523527754296986,4.090979474371034,17.217987662930007,"[0.0001508481603535434, 0.24863205252512988]",24.0,160.0,127.0,200.0,127.75
Burr_III,164,0.03554095300375813,0.9276923076923077,4.0710819060075165,17.39332262645328,"[0.14858841137095252, 0.07156615602514907]",7.0,29.0,115.0,412.0,140.75
Burr_XII,164,0.03560451209031151,0.9276923076923077,4.071209024180623,17.393449744626384,"[0.04376557326124031, 4.448805820552699]",8.0,29.0,116.0,413.0,141.5
Burr_III,178,0.031393390473704624,0.9985835694050991,4.062786780947409,17.48567341909834,"[0.15080079526177315, 0.06911719960148653]",1.0,2.0,111.0,460.0,143.5
Burr_XII,178,0.031433134459906614,0.9985835694050991,4.062866268919813,17.485752907070744,"[0.04386937906837581, 4.5009694208975315]",2.0,2.0,112.0,461.0,144.25
Burr_III,165,0.031736790549475175,0.9984709480122324,4.06347358109895,17.49490583619535,"[0.1512194696157756, 0.06894540958132685]",3.0,12.0,113.0,470.0,149.5
Burr_III,153,0.046327559340479905,0.9304635761589404,4.09265511868096,17.430078796791253,"[0.149584987739458, 0.0703034391238357]",25.0,21.0,128.0,426.0,150.0
