id,date,news,label,pct_change,preprocessed_text,topic_id,topic_label
nifty_1,2010-01-07,Britain Set for Next Step on Wind Power,Neutral,0.0033,britain set for next step on wind power,19,carbon_solar_climate
nifty_1,2010-01-07,Journal Register Taps Paton as CEO,Neutral,0.0033,journal register taps paton as ceo,3,officer_appoints_chief
nifty_1,2010-01-07,Gold Pressured by Dollar,Neutral,0.0033,gold pressured by dollar,15,preciousgold_gold_bullion
nifty_1,2010-01-07,European Stocks Trade in Tight Ranges,Neutral,0.0033,european stocks trade in tight ranges,17,european_european shares_european stocks
nifty_1,2010-01-07,U.S. Airlines Claw Back,Neutral,0.0033,u.s. airlines claw back,4,boeing_air_airlines
nifty_1,2010-01-07,U.S. Now a Renters' Market,Neutral,0.0033,u.s. now a renters market,18,global chinese_chinese_industry 2014
nifty_2,2010-01-11,"HK, China stocks rise on reforms; brokerages soar",Fall,-0.0093,"hk, china stocks rise on reforms; brokerages soar",12,kong_hong_hong kong
nifty_2,2010-01-11,Alibaba shares rise on robust China export data,Fall,-0.0093,alibaba shares rise on robust china export data,12,kong_hong_hong kong
nifty_2,2010-01-11,"China stocks end up 0.5 pct, brokerages strong",Fall,-0.0093,"china stocks end up 0.5 pct, brokerages strong",12,kong_hong_hong kong
nifty_2,2010-01-11,"Nowotny-ECB's forecasts valid, risk concerns in U.S.",Fall,-0.0093,"nowotny-ecb forecasts valid, risk concerns in u.s.",5,ecb_eurozone_zone
nifty_2,2010-01-11,UPDATE 1-HK-listed shipping stocks rally on trade optimism,Fall,-0.0093,hk-listed shipping stocks rally on trade optimism,12,kong_hong_hong kong
nifty_2,2010-01-11,HK stocks rise 0.51 pct; brokerages up,Fall,-0.0093,hk stocks rise 0.51 pct; brokerages up,12,kong_hong_hong kong
nifty_2,2010-01-11, Green Energy Live Pursuing Opportunities in Growing Green Energy Sector,Fall,-0.0093,green energy live pursuing opportunities in growing green energy sector,19,carbon_solar_climate
nifty_2,2010-01-11,Autonomy Rated 'Strong Positive' in Leading Industry Analyst Firm's E-Discovery MarketScope Report,Fall,-0.0093,autonomy rated strong positive in leading industry analyst firm e-discovery marketscope report,2,analyst_technical_updates
nifty_2,2010-01-11,STOCKS NEWS EUROPE-Galapagos hits 3-yr high on Roche deal,Fall,-0.0093,stocks news europe-galapagos hits 3-yr high on roche deal,17,european_european shares_european stocks
nifty_2,2010-01-11,U.S. solar thermal firm in deal for China power project,Fall,-0.0093,u.s. solar thermal firm in deal for china power project,19,carbon_solar_climate
nifty_2,2010-01-11,Hyperdynamics to Hold Business Update Investor Conference Call February 1,Fall,-0.0093,hyperdynamics to hold business update investor conference call february 1,1,present_conference_investor
nifty_2,2010-01-11,Quantros Names New EVP of Product Management & Services,Fall,-0.0093,quantros names new evp of product management & services,3,officer_appoints_chief
nifty_2,2010-01-11,ImpactRx Closes Series E Round of Financing,Fall,-0.0093,impactrx closes series e round of financing,9,secures_series_funding
nifty_2,2010-01-11,CyberDefender to Present to Institutional Investors at the 12th Annual ICR XChange Conference,Fall,-0.0093,cyberdefender to present to institutional investors at the 12th annual icr xchange conference,1,present_conference_investor
nifty_2,2010-01-11,"MAXIMUS to Present at the CJS Investor Conference on January 14, 2010",Fall,-0.0093,"maximus to present at the cjs investor conference on january 14, 2010",1,present_conference_investor
nifty_2,2010-01-11, NACEL Energy Announces Key Officer and Director Appointments -- CFO Andre Schwegler and Director Mark Schaftlein,Fall,-0.0093,nacel energy announces key officer and director appointments -- cfo andre schwegler and director mark schaftlein,3,officer_appoints_chief
nifty_2,2010-01-11,SecureNet Payment Solutions and Main Street Softworks Announce End-to-End Encryption and Tokenization Agreement,Fall,-0.0093,securenet payment solutions and main street softworks announce end-to-end encryption and tokenization agreement,0,security_cloud_cyber
nifty_2,2010-01-11," NaviSite, a Worldwide Leading SaaS-Enablement Provider, Partners With WorkPlace Systems, Deploying Retail Workforce",Fall,-0.0093,"navisite, a worldwide leading saas-enablement provider, partners with workplace systems, deploying retail workforce",0,security_cloud_cyber
nifty_2,2010-01-11,Gateway Certifications Closes Merger With Chinese Alternative Fuel Company,Fall,-0.0093,gateway certifications closes merger with chinese alternative fuel company,16,ipo_yuan_mln yuan
nifty_2,2010-01-11,Teleflex Provides 2010 Business and Financial Outlook,Fall,-0.0093,teleflex provides 2010 business and financial outlook,1,present_conference_investor
